,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
44,Kalianget,-7.05,113.9333,84.09,71,70,5.55,ID,1645505510
45,Albany,42.6001,-73.9662,35.73,73,77,0.43,US,1645505261
46,Charlottetown,46.2352,-63.1267,30.2,65,75,13.8,CA,1645505489
47,Port Elizabeth,-33.918,25.5701,57.49,88,0,5.75,ZA,1645505260
48,Burnie,-41.0667,145.9167,63.3,64,100,10.6,AU,1645505531
49,Tuktoyaktuk,69.4541,-133.0374,-5.8,65,75,23.02,CA,1645505537
50,Torbay,47.6666,-52.7314,33.58,81,40,19.57,CA,1645505542
51,Kloulklubed,7.0419,134.2556,81.68,80,100,25.79,PW,1645505548
52,Morro Bay,35.3658,-120.8499,51.21,78,0,12.57,US,1645505553
53,Mercedes,-34.6515,-59.4307,67.84,81,98,8.05,AR,1645505559
54,Kiryat Gat,31.61,34.7642,56.39,68,20,4.61,IL,1645505564
55,Road Town,18.4167,-64.6167,75.99,73,0,17.02,VG,1645505570
56,Amiens,49.9,2.3,43.66,95,90,9.62,FR,1645505575
57,Hilo,19.7297,-155.09,76.73,88,75,6.91,US,1645505212
58,Pecos,31.4229,-103.4932,63.43,29,55,6.91,US,1645505586
59,Port Alfred,-33.5906,26.891,66.83,79,48,7.43,ZA,1645505596
60,Ribeira Grande,38.5167,-28.7,57.02,68,21,1.25,PT,1645505602
61,Kamaishi,39.2667,141.8833,31.15,58,42,22.75,JP,1645505607
62,Kidal,18.4411,1.4078,67.37,12,0,9.73,ML,1645505618
63,Mataura,-46.1927,168.8643,49.44,98,100,0.81,NZ,1645505624
64,Hithadhoo,-0.6,73.0833,82.8,71,100,7.99,MV,1645505629
65,Coyhaique,-45.5752,-72.0662,51.75,54,0,5.75,CL,1645505170
66,Agogo,6.8,-1.0819,71.26,93,67,1.81,GH,1645505640
67,Magadan,59.5667,150.8,3.9,80,0,6.06,RU,1645505646
68,New Norfolk,-42.7826,147.0587,73.65,26,2,3.0,AU,1645505651
69,Pisco,-13.7,-76.2167,73.45,83,75,0.0,PE,1645505657
70,Spornoye,50.8448,37.2913,37.42,92,100,14.36,RU,1645505667
71,Līsakovsk,52.5369,62.4936,23.79,95,99,8.28,KZ,1645505673
72,Taiyuan,37.8694,112.5603,33.66,19,0,4.47,CN,1645505678
73,Norman Wells,65.282,-126.8329,-11.16,64,20,9.22,CA,1645505684
74,San Quintín,30.4833,-115.95,56.52,74,34,12.64,MX,1645505219
75,Faanui,-16.4833,-151.75,80.85,76,100,17.05,PF,1645505695
76,Thinadhoo,0.5333,72.9333,82.81,67,99,8.5,MV,1645505700
77,Yuxia,34.0615,108.6291,45.21,37,100,5.46,CN,1645505706
78,Bredasdorp,-34.5322,20.0403,60.08,81,3,1.72,ZA,1645505711
79,Cabo San Lucas,22.8909,-109.9124,70.52,81,27,9.15,MX,1645505153
80,Gwadar,25.1216,62.3254,72.7,56,0,10.89,PK,1645505723
81,Chickasha,35.0526,-97.9364,66.79,72,40,12.66,US,1645505728
82,Saint George,37.1041,-113.5841,50.59,29,0,11.5,US,1645505631
83,Alikovo,55.7383,46.7549,28.27,97,100,15.37,RU,1645505739
84,Savonlinna,61.8699,28.88,23.05,86,75,14.97,FI,1645505681
85,Clyde River,70.4692,-68.5914,-5.57,77,100,18.41,CA,1645505750
86,Palmer,42.1584,-72.3287,37.85,76,75,0.0,US,1645505543
87,Lüderitz,-26.6481,15.1594,69.12,60,19,13.13,NA,1645505761
88,Smidovich,48.6,133.8167,10.44,81,100,9.46,RU,1645505766
89,Dali,25.7,100.1833,51.15,53,71,7.27,CN,1645505772
90,Lahaina,20.8783,-156.6825,76.8,90,31,9.1,US,1645505777
91,Khatanga,71.9667,102.5,6.15,89,100,2.64,RU,1645505783
92,Lorengau,-2.0226,147.2712,77.32,90,100,12.21,PG,1645505788
93,Finschhafen,-6.6024,147.8681,83.59,79,99,8.48,PG,1645505799
94,Jamestown,42.097,-79.2353,39.52,77,100,1.01,US,1645505774
95,Barrow,71.2906,-156.7887,19.42,86,100,16.11,US,1645505810
96,College,64.8569,-147.8028,18.59,84,100,3.44,US,1645505532
97,Dumas,35.8656,-101.9732,52.63,27,0,11.03,US,1645505820
98,Tivaouane,14.9515,-16.8129,68.34,77,69,13.67,SN,1645505826
99,Vaini,-21.2,-175.2,82.56,94,75,10.36,TO,1645505831
100,Vila Franca do Campo,37.7167,-25.4333,59.2,70,93,7.23,PT,1645505842
101,Kapaa,22.0752,-159.319,73.38,70,19,11.74,US,1645505848
102,Cape Town,-33.9258,18.4232,63.27,77,0,8.05,ZA,1645505460
103,Zaragoza,41.6561,-0.8773,48.02,60,0,18.41,ES,1645505858
104,Mahibadhoo,3.7833,72.9667,81.81,70,0,7.63,MV,1645505864
105,Cidreira,-30.1811,-50.2056,72.81,82,73,6.49,BR,1645505869
106,Kirakira,-10.4544,161.9205,83.39,79,97,4.63,SB,1645505875
107,Verāval,20.9,70.3667,76.93,57,6,5.08,IN,1645505880
108,Upernavik,72.7868,-56.1549,-24.74,99,100,0.43,GL,1645505886
109,Prince Rupert,54.3161,-130.3201,31.69,59,0,12.66,CA,1645505798
110,Talnakh,69.4865,88.3972,15.21,91,100,18.43,RU,1645505896
111,Khilok,51.3674,110.4676,17.98,75,85,4.07,RU,1645505902
112,Oodweyne,9.4092,45.064,69.64,32,9,6.64,SO,1645505907
113,Georgiyevskoye,58.731,45.024,28.85,97,100,8.59,RU,1645505913
114,Tegul'det,57.3064,88.1667,22.82,93,100,10.51,RU,1645505918
115,Kruisfontein,-34.0033,24.7314,61.39,81,12,3.4,ZA,1645505924
116,Walvis Bay,-22.9575,14.5053,71.1,83,53,10.36,NA,1645505929
117,Pevek,69.7008,170.3133,-31.14,97,100,2.71,RU,1645505935
118,Korbach,51.2756,8.873,36.82,80,65,15.64,DE,1645505940
119,Bodden Town,19.2833,-81.25,78.93,74,5,1.99,KY,1645505946
120,Nosy Varika,-20.5833,48.5333,75.52,94,100,30.58,MG,1645505951
121,Yatou,37.15,122.3833,29.44,51,74,17.52,CN,1645505956
122,Pacific Grove,36.6177,-121.9166,49.66,78,27,8.99,US,1645505962
123,Vagay,57.9375,69.0217,23.79,94,100,5.91,RU,1645505967
124,Vanino,49.0869,140.2543,19.08,65,100,9.91,RU,1645505973
125,Ossora,59.2353,163.0719,-4.52,84,100,5.21,RU,1645505978
126,Udachny,66.4167,112.4,14.45,85,34,6.26,RU,1645505989
127,Bengkulu,-3.8004,102.2655,85.14,64,100,7.05,ID,1645505994
128,Soe,-9.8607,124.284,66.51,96,100,2.17,ID,1645506000
129,Mitú,1.1983,-70.1733,74.34,81,100,2.66,CO,1645506008
130,Kaeo,-35.1,173.7833,78.33,68,0,9.86,NZ,1645506026
131,Saint-Philippe,-21.3585,55.7679,80.19,88,100,25.37,RE,1645506000
132,Mayahi,13.9553,7.6712,61.36,13,1,10.56,NE,1645506041
133,Nongpoh,25.9,91.8833,62.17,35,0,5.55,IN,1645506047
134,Makkah al Mukarramah,21.4267,39.8261,72.97,33,19,1.05,SA,1645506042
135,Asău,46.4333,26.4,43.75,92,100,1.92,RO,1645506063
136,Mar del Plata,-38.0023,-57.5575,70.09,91,100,11.99,AR,1645506044
137,Cabañas,22.9758,-82.9219,71.56,80,0,11.97,CU,1645506074
138,Lusambo,-4.9667,23.45,69.33,98,100,0.58,CD,1645506079
139,Chui,-33.6971,-53.4616,65.25,88,17,7.18,UY,1645506085
140,Cap Malheureux,-19.9842,57.6142,82.47,83,100,11.99,MU,1645506074
141,Chapais,49.7834,-74.8492,-11.79,90,100,4.63,CA,1645506096
142,Kodinsk,58.6881,99.1844,23.52,87,86,6.13,RU,1645506106
143,Caravelas,-17.7125,-39.2481,73.54,93,2,2.28,BR,1645506054
144,Hobart,-42.8794,147.3294,75.22,41,20,11.5,AU,1645505924
145,Santokhgarh,31.3667,76.3167,62.98,37,96,9.64,IN,1645506122
146,Atasū,48.6814,71.6433,21.96,81,100,3.42,KZ,1645506128
147,Sokoni,-6.4333,39.55,81.46,82,100,11.36,TZ,1645506133
148,Arraial do Cabo,-22.9661,-42.0278,75.33,91,100,15.57,BR,1645506139
149,Port Lincoln,-34.7333,135.8667,67.89,57,34,11.32,AU,1645506067
150,Vestmannaeyjar,63.4427,-20.2734,35.94,83,87,56.84,IS,1645506155
151,Saskylakh,71.9167,114.0833,13.19,90,100,7.43,RU,1645505912
152,Bethel,41.3712,-73.414,39.33,73,0,0.0,US,1645506165
153,Todos Santos,23.45,-110.2167,70.02,79,38,7.58,MX,1645506171
154,Brownsville,25.9018,-97.4975,71.98,89,4,11.99,US,1645505994
155,Hīt,33.6416,42.8251,57.38,59,71,4.45,IQ,1645506182
156,Port Moresby,-9.4431,147.1797,80.47,85,94,6.58,PG,1645506187
157,Mehrān,33.1222,46.1646,49.48,58,20,5.28,IR,1645506198
158,Ahipara,-35.1667,173.1667,73.31,70,20,2.75,NZ,1645506203
159,Nogales,31.3086,-110.9422,49.08,56,0,3.44,MX,1645506209
160,Puerto del Rosario,28.5004,-13.8627,62.28,67,33,1.14,ES,1645506111
161,Poso,-1.3959,120.7524,82.56,67,100,5.19,ID,1645506219
162,Coquimbo,-29.9533,-71.3436,60.53,88,0,4.61,CL,1645506225
163,Khasan,42.4308,130.6434,18.45,41,9,20.36,RU,1645506230
164,Narimanov,46.6927,47.8498,28.31,89,5,4.47,RU,1645506241
165,Tasiilaq,65.6145,-37.6368,28.56,77,100,38.79,GL,1645506247
166,Katsuura,35.1333,140.3,46.51,45,52,19.35,JP,1645506252
167,Fare,-16.7,-151.0167,81.45,73,100,16.8,PF,1645506258
168,Escárcega,18.6089,-90.7454,73.49,71,3,7.07,MX,1645506263
169,Pundaguitan,6.3711,126.1689,79.9,75,100,13.96,PH,1645506269
170,Zhuhai,22.2769,113.5678,50.92,93,40,20.71,CN,1645506274
171,Fernley,39.608,-119.2518,34.68,54,86,5.01,US,1645506101
172,Los Llanos de Aridane,28.6585,-17.9182,55.15,76,0,8.05,ES,1645506285
173,Tashla,51.7716,52.7427,23.43,96,100,4.27,RU,1645506291
174,Westport,41.1415,-73.3579,40.19,82,0,4.61,US,1645506296
175,George Town,5.4112,100.3354,89.53,70,20,9.22,MY,1645506302
176,Port Augusta,-32.5,137.7667,90.72,23,0,10.8,AU,1645506312
177,Nemuro,43.3236,145.575,25.18,72,85,20.45,JP,1645506318
178,Eyl,7.9803,49.8164,79.03,69,46,19.69,SO,1645506323
179,Thompson,55.7435,-97.8558,-24.23,98,9,4.41,CA,1645506077
180,Mahébourg,-20.4081,57.7,82.26,94,75,21.85,MU,1645506339
181,Muros,42.7762,-9.0603,41.5,52,82,7.94,ES,1645506345
182,Qaanaaq,77.484,-69.3632,-7.67,55,20,8.5,GL,1645506062
183,Polyarny,69.1989,33.4478,9.07,98,100,5.32,RU,1645506356
184,Llanes,43.4198,-4.7549,42.28,49,20,3.29,ES,1645506361
185,Gachsaran,30.3586,50.7981,55.17,54,1,0.45,IR,1645506366
186,Karakol,42.4907,78.3936,26.01,60,4,0.6,KG,1645507290
187,Puerto Madryn,-42.7692,-65.0385,54.9,57,85,9.22,AR,1645507255
188,Lewisburg,35.4492,-86.7889,55.38,91,100,14.97,US,1645507312
189,Leh,34.1667,77.5833,13.35,81,100,4.09,IN,1645507317
190,Tam Ky,15.5667,108.4833,76.98,71,89,7.18,VN,1645507328
191,Ulaanbaatar,47.9077,106.8832,10.53,61,24,2.24,MN,1645508009
192,Ati,13.2154,18.3353,64.31,16,1,9.17,TD,1645508296
193,Nagato,34.3833,131.2,40.95,46,26,18.5,JP,1645508302
194,Da Lat,11.9465,108.4419,69.85,71,70,4.09,VN,1645508307
195,Aranda de Duero,41.6704,-3.6892,35.53,43,8,1.23,ES,1645508319
196,Camacha,33.0833,-16.3333,60.53,72,40,13.8,PT,1645508324
197,Onda,39.9667,-0.25,51.71,33,0,7.0,ES,1645508330
198,Bonthe,7.5264,-12.505,75.27,79,100,1.72,SL,1645508335
199,Nanortalik,60.1432,-45.2371,8.15,76,91,12.21,GL,1645508346
200,Ayagoz,47.9714,80.4392,22.75,75,16,6.26,KZ,1645508351
201,Linkuva,56.0856,23.9725,34.47,87,100,17.56,LT,1645508357
202,Verkhoyansk,67.5447,133.385,-8.43,98,84,1.77,RU,1645508200
203,Kavieng,-2.5744,150.7967,81.93,76,99,7.05,PG,1645508367
204,Yar-Sale,66.8333,70.8333,17.11,96,100,8.59,RU,1645508373
205,Yantal',56.8471,105.2542,27.36,81,21,5.57,RU,1645508378
206,Zetaquira,5.2822,-73.169,59.18,93,89,2.55,CO,1645508384
207,Salalah,17.0151,54.0924,78.89,25,0,17.27,OM,1645508390
208,Ixtapa,20.7,-105.2,71.22,84,0,2.91,MX,1645508395
209,Muscat,23.6139,58.5922,71.62,52,0,15.82,OM,1645508401
210,Alofi,-19.0595,-169.9187,76.89,94,100,3.44,NU,1645508406
211,Lebu,-37.6167,-73.65,54.5,91,39,9.78,CL,1645509051
212,Rawson,-43.3002,-65.1023,54.7,63,88,8.34,AR,1645508942
213,Kiunga,-6.1219,141.2906,79.12,95,100,4.68,PG,1645509061
214,Haines Junction,60.7522,-137.5108,-0.45,71,99,1.14,CA,1645509067
215,Saint-Joseph,-21.3667,55.6167,80.98,82,100,20.54,RE,1645509073
216,Buraidah,26.326,43.975,48.65,28,2,0.98,SA,1645509078
217,Daru,-9.0763,143.2092,78.46,93,100,6.62,PG,1645509084
218,Mehamn,71.0357,27.8492,19.58,86,100,6.15,NO,1645509089
219,Marondera,-18.1853,31.5519,64.53,86,94,7.2,ZW,1645509095
220,Lucea,18.451,-78.1736,76.86,75,4,15.08,JM,1645509100
221,Linxia Chengguanzhen,35.6003,103.2064,27.54,64,48,3.6,CN,1645509106
222,Tarko-Sale,64.9225,77.785,19.78,94,97,14.52,RU,1645509111
223,Yulara,-25.2406,130.9889,93.04,18,0,11.5,AU,1645509380
224,Andenes,69.3143,16.1194,13.98,85,40,6.91,NO,1645509386
225,Karratha,-20.7377,116.8463,95.79,37,71,13.18,AU,1645509391
226,Arman',59.7,150.1667,4.95,78,0,8.39,RU,1645509402
227,Lukaya,-0.1489,31.8748,72.03,62,98,4.47,UG,1645509408
228,Boende,-0.2167,20.8667,75.27,66,98,1.19,CD,1645509413
229,Longyearbyen,78.2186,15.6401,1.24,71,20,3.44,SJ,1645509419
230,Wilmington,34.2257,-77.9447,60.94,83,100,5.14,US,1645509661
231,Ca Mau,9.1769,105.15,89.51,49,49,12.24,VN,1645509909
232,Ilulissat,69.2167,-51.1,-2.18,65,100,9.22,GL,1645509914
233,Arzgir,45.3728,44.2206,44.02,83,86,9.98,RU,1645509920
234,Provideniya,64.3833,-173.3,25.23,97,100,3.8,RU,1645509925
235,Lowestoft,52.4752,1.7516,44.94,91,100,12.95,GB,1645509725
236,Zykovo,55.9519,93.1461,34.54,71,61,5.46,RU,1645509936
237,Novopokrovka,49.8425,36.5477,37.29,93,100,12.17,UA,1645509942
238,Gazojak,41.1875,61.4036,53.15,30,24,1.77,TM,1645509947
239,Celestún,20.8667,-90.4,76.28,73,0,12.84,MX,1645509952
240,Iqaluit,63.7506,-68.5145,-23.31,74,100,18.99,CA,1645509958
241,Killam,52.7834,-111.8518,-9.38,100,48,3.94,CA,1645509964
242,Flin Flon,54.7682,-101.865,-26.23,100,27,3.96,CA,1645509761
243,Isangel,-19.55,169.2667,87.91,66,40,4.61,VU,1645509975
244,Kalmunai,7.4167,81.8167,83.73,67,7,5.53,LK,1645509982
245,Smirnykh,49.75,142.8333,12.13,66,100,12.57,RU,1645509987
246,Jiangyou,31.7667,104.7167,49.68,54,97,5.39,CN,1645509993
247,Xichang,27.8964,102.2634,43.14,58,100,2.21,CN,1645509998
248,Poum,-20.2333,164.0167,83.1,76,30,18.77,NC,1645510004
249,Mount Gambier,-37.8333,140.7667,68.5,47,0,13.24,AU,1645510009
250,Castro,-24.7911,-50.0119,62.53,92,3,1.95,BR,1645510020
251,Saint Anthony,45.0205,-93.218,17.44,76,100,16.11,US,1645510025
252,Khovd,48.0056,91.6419,3.09,85,30,4.5,MN,1645510031
253,Comodoro Rivadavia,-45.8667,-67.5,53.06,56,0,7.11,AR,1645509764
254,Kosterevo,55.9299,39.6144,33.12,99,100,10.51,RU,1645510042
255,Rio Grande,-32.035,-52.0986,69.91,79,72,10.04,BR,1645510047
256,Chokurdakh,70.6333,147.9167,-37.16,99,66,6.64,RU,1645510053
257,Gävle,60.6745,17.1417,18.5,88,100,1.01,SE,1645510058
258,Pavlodar,52.3,76.95,15.6,79,0,6.71,KZ,1645510063
259,Umluj,25.0213,37.2685,70.9,33,19,5.21,SA,1645510069
260,Omsukchan,62.5333,155.8,-25.06,95,8,5.3,RU,1645510075
261,Batticaloa,7.7102,81.6924,82.63,68,8,4.36,LK,1645510080
262,Mahabalipuram,12.6264,80.1722,87.85,60,66,7.36,IN,1645510086
263,Viljoenskroon,-27.2084,26.9485,72.03,35,0,4.25,ZA,1645510091
264,Sakakah,29.9697,40.2064,57.27,37,98,3.76,SA,1645510102
265,Panjāb,34.388,67.0233,31.96,91,95,4.68,AF,1645510108
266,Aquino,41.4911,13.7047,45.86,85,67,4.05,IT,1645510118
267,Carlisle,40.2015,-77.1889,46.29,62,84,1.01,US,1645509871
268,Gualaquiza,-3.4,-78.55,63.55,99,99,0.87,EC,1645510129
269,Bajos de Haina,18.4154,-70.0332,74.32,83,6,9.4,DO,1645510134
270,Baker City,44.7749,-117.8344,26.92,93,40,4.61,US,1645510140
271,Grindavik,63.8424,-22.4338,34.27,100,100,58.7,IS,1645510145
272,Kumul,42.8,93.45,38.37,25,0,3.22,CN,1645510151
273,Ranong,9.9658,98.6348,86.88,62,62,6.78,TH,1645510156
274,Klaksvík,62.2266,-6.589,38.32,87,100,30.87,FO,1645510162
275,Palaia Fokaia,37.72,23.9463,58.6,78,59,7.94,GR,1645510167
276,Jutaí,-5.1833,-68.9,72.68,99,100,1.68,BR,1645510173
277,Nur-Sultan,51.1801,71.446,21.15,73,100,6.71,KZ,1645510178
278,Vestmanna,62.1564,-7.1664,36.52,87,100,19.57,FO,1645510183
279,Hastings,50.8552,0.5729,50.0,81,88,17.74,GB,1645510189
280,Ufa,54.775,56.0375,22.37,90,100,8.9,RU,1645510196
281,Paamiut,61.994,-49.6678,-5.8,89,99,12.86,GL,1645510202
282,Praia,14.9215,-23.5087,70.34,73,75,17.27,CV,1645510209
283,San Patricio,28.017,-97.5169,71.69,88,26,24.87,US,1645510215
284,Sorgues,44.0102,4.8738,49.71,65,0,25.32,FR,1645510220
285,Danville,36.586,-79.395,59.56,72,100,0.0,US,1645510226
286,Filingué,14.3521,3.3168,64.02,12,3,10.22,NE,1645510231
287,Jalu,29.0331,21.5482,55.4,94,33,7.38,LY,1645510236
288,Lagoa,39.05,-27.9833,56.59,67,12,2.51,PT,1645510242
289,Dakar,14.6937,-17.4441,68.88,83,61,17.18,SN,1645510205
290,Grootfontein,-19.5667,18.1167,67.57,88,75,6.91,NA,1645510258
291,Shīeli,44.1667,66.75,45.54,54,99,5.53,KZ,1645510269
292,Nioro,13.35,-15.75,71.94,33,42,4.99,GM,1645510274
293,Marion,39.7684,-86.1555,57.52,84,100,18.41,US,1645510280
294,Kyaikkami,16.08,97.5675,82.08,52,17,4.79,MM,1645510285
295,Vung Tau,10.346,107.0843,81.82,71,96,11.74,VN,1645510291
296,Kushmurun,52.4503,64.6311,29.7,97,100,7.56,KZ,1645510296
297,Ushtobe,45.2514,77.9838,31.51,79,6,10.36,KZ,1645510303
298,Kaifeng,34.7911,114.3483,45.54,19,96,5.93,CN,1645510308
299,Tupsan,9.1992,124.7769,82.65,65,92,6.53,PH,1645510314
300,Puro,12.4841,123.3827,80.42,79,98,18.92,PH,1645510319
301,Flinders,-34.5833,150.8552,72.18,88,100,5.99,AU,1645510325
302,Oka,45.4649,-74.0889,17.74,61,100,14.97,CA,1645510330
303,Sonepur,20.8333,83.9167,88.16,11,5,3.96,IN,1645510336
304,Lompoc,34.6391,-120.4579,52.12,72,100,25.01,US,1645510341
305,Tiksi,71.6872,128.8694,0.77,87,100,12.44,RU,1645510357
306,Powell,40.1578,-83.0752,56.88,55,100,10.36,US,1645510363
307,Cascais,38.6979,-9.4215,57.06,56,11,15.99,PT,1645510368
308,Evensk,61.95,159.2333,-11.78,81,0,7.96,RU,1645510373
309,Saldanha,-33.0117,17.9442,63.28,79,0,8.86,ZA,1645510379
310,Otane,-39.8833,176.6333,72.01,76,29,5.14,NZ,1645510384
311,Nizwá,22.9333,57.5333,76.73,21,0,3.71,OM,1645510390
312,Egvekinot,66.3167,-179.1667,0.01,96,100,7.38,RU,1645510395
313,Kiama,-34.6833,150.8667,72.37,91,100,7.0,AU,1645510401
314,Sørland,67.667,12.6934,19.47,48,28,7.16,NO,1645510406
315,Kuytun,54.3419,101.5036,18.75,87,43,10.67,RU,1645510412
316,La Santisima Trinidad,-14.8333,-64.9,71.87,98,100,3.29,BO,1645510417
317,Thunder Bay,48.4001,-89.3168,-1.44,72,100,5.99,CA,1645510262
318,Constitución,-35.3333,-72.4167,55.54,92,65,8.61,CL,1645510428
319,Esmeraldas,-19.7625,-44.3139,68.86,94,100,2.3,BR,1645510433
320,Krasnyy,54.5678,31.4333,30.88,88,49,14.7,RU,1645510439
321,Bulgan,48.8125,103.5347,16.68,71,24,3.04,MN,1645510449
322,Smithers,54.7804,-127.1743,0.81,94,6,1.92,CA,1645510209
323,Lebanon,36.2081,-86.2911,57.54,86,100,12.66,US,1645510460
324,Puerto Baquerizo Moreno,-0.9,-89.6,75.56,79,22,5.82,EC,1645510354
325,Mazagão,-0.115,-51.2894,78.85,96,100,3.51,BR,1645510476
326,Balyqshy,47.0667,51.8667,35.6,100,75,11.18,KZ,1645510482
327,Codrington,-38.2667,141.9667,65.5,55,0,17.25,AU,1645510487
328,Gizo Government Station,-8.103,156.8419,84.96,68,100,3.51,SB,1645510493
329,Dingle,10.9995,122.6711,81.61,72,100,12.77,PH,1645510498
330,Quimper,48.0,-4.1,53.6,93,100,13.8,FR,1645510504
331,Portland,45.5234,-122.6762,38.25,92,40,5.99,US,1645510509
332,Sangar,63.9242,127.4739,-8.46,89,90,5.12,RU,1645510516
333,Monrovia,6.3005,-10.7969,76.39,85,94,4.0,LR,1645510522
334,Santa Lucía,27.9117,-15.5407,51.12,67,0,10.36,ES,1645510527
335,Zaysan,47.4667,84.8667,17.4,80,3,2.89,KZ,1645510533
336,San Fernando del Valle de Catamarca,-28.4696,-65.7852,67.77,83,99,2.46,AR,1645510538
337,Linfen,36.0889,111.5189,44.71,15,76,5.08,CN,1645510543
338,Airai,-8.9266,125.4092,64.36,86,100,1.81,TL,1645510549
339,Palana,59.1167,159.9667,-7.17,91,98,17.56,RU,1645510554
340,Kisangani,0.5167,25.2,74.41,59,81,1.74,CD,1645510560
341,Matveyevka,52.15,56.1833,23.95,92,100,5.32,RU,1645510565
342,Huarmey,-10.0681,-78.1522,72.45,80,98,4.88,PE,1645510571
343,Baykit,61.67,96.37,21.15,90,99,4.88,RU,1645510581
344,Sterling,39.0062,-77.4286,52.16,63,0,6.91,US,1645510587
345,City of San Pedro,14.35,121.0167,80.35,94,100,9.22,PH,1645510592
346,Hirara,24.8,125.2833,68.27,73,75,14.97,JP,1645510598
347,Miracema do Tocantins,-9.5618,-48.3967,75.43,91,100,1.41,BR,1645510603
348,Concepción del Oro,24.6333,-101.4167,57.85,34,30,6.93,MX,1645510609
349,Aklavik,68.2191,-135.0107,2.12,80,100,23.42,CA,1645510619
350,Pangnirtung,66.1451,-65.7125,-24.21,98,100,1.97,CA,1645510625
351,Marrakesh,31.6315,-8.0083,53.67,43,0,6.91,MA,1645510630
352,Husavik,66.0449,-17.3389,39.11,77,88,37.92,IS,1645510636
353,Rocha,-34.4833,-54.3333,66.9,84,99,10.69,UY,1645510642
354,Tondabayashi,34.5,135.6,47.52,46,75,23.02,JP,1645510647
355,Praia da Vitória,38.7333,-27.0667,54.75,87,40,4.36,PT,1645510654
356,Anloga,5.7947,0.8973,79.63,88,60,10.31,GH,1645510578
357,Naurskaya,43.6519,45.3133,43.74,78,64,10.92,RU,1645510664
